version,publishedtime,url,length of content,md5
version1.0,30/03/2020 9:55,https://www.canada.ca/en/public-health/news/2020/02/update-4-statement-from-the-chief-public-health-officer-on-the-release-of-selected-individuals-from-quarantine-for-the-2019-novel-coronavirus.html,3175,591EA353D1C2BDB7C9306FE17D0F3C25
version1.0,30/03/2020 9:55,https://www.canada.ca/en/immigration-refugees-citizenship/services/coronavirus-special-measures.html,3464,AE070A420CBA691EFBA3F1539D178E4E
version1.0,30/03/2020 9:55,https://news.gov.bc.ca/releases/2020HLTH0011-000129,16586,5E6C5223E6FE5FF7FDE484FF5FC7EC85
version1.0,30/03/2020 9:55,https://news.gov.bc.ca/releases/2020HLTH0010-000102,22125,ADB523B119ED402274362F9E6D5820A8
version1.0,30/03/2020 9:55,https://experience.arcgis.com/experience/685d0ace521648f8a5beeeee1b9125cd,10,4038D5A85906029F46137A4164C51073
version1.0,30/03/2020 9:55,http://www.bccdc.ca/about/news-stories/stories/2020/information-on-novel-coronavirus,20399,300BF154EAD112570ABFCCB8CEBC3E01
version1.0,30/03/2020 9:55,https://www.canada.ca/en/public-health/news/2020/02/update-6-statement-from-the-chief-public-health-officer-on-the-release-of-selected-individuals-from-quarantine-for-the-2019-novel-coronavirus.html,3105,D6F7F409BD3EA9493CFEF15C1920C125
version1.0,25/01/2020 3:14,https://www.cbc.ca/news/canada/british-columbia/coronavirus-risk-low-bccdc-1.5440417,6587,366DCE10921E5198E3AF6E40E36F9507
version2.0,30/03/2020 9:55,https://www.cbc.ca/news/world/what-we-actually-know-about-the-coronavirus-1.5449100,4203,5745FDACA3C8A4D46FC6C3324AA85C74
version1.0,30/03/2020 9:55,https://www.canada.ca/en/public-health/news/2020/02/update-3-statement-from-the-chief-public-health-officer-on-the-release-of-selected-individuals-from-quarantine-for-the-2019-novel-coronavirus.html,3192,1C21A9E85B0766290AD741623A468A94
version1.0,28/01/2020 19:47,https://www.cbc.ca/news/canada/nova-scotia/coronavirus-canada-china-lobster-exports-1.5443266,8117,D7408CEC65765609BA9535148DA7DB00
